"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate"
746246,"7017fc0b-c419-4121-9434-cc7753b4c2c0","/api/v1.1/game/746246/feed/live","R","2024","2024-04-24T01:38:00Z","2024-04-23",FALSE,1,TRUE,"N","P","N","14-746246-2024-04-23","2024","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,8,15,8,".652",110,"Baltimore Orioles","/api/v1/teams/110",7,TRUE,FALSE,8,10,14,".417",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/746246/content",NA,NA
745348,"fa32a8ca-2884-4b35-b460-70f9c544d51d","/api/v1.1/game/745348/feed/live","R","2024","2024-04-24T01:45:00Z","2024-04-23",FALSE,1,TRUE,"N","P","N","14-745348-2024-04-23","2024","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,8,12,11,".522",121,"New York Mets","/api/v1/teams/121",5,TRUE,FALSE,8,12,13,".480",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/745348/content",NA,NA
745188,"d2546729-91f2-40c4-b252-56b4f24f9c6a","/api/v1.1/game/745188/feed/live","R","2024","2024-04-24T17:15:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745188-2024-04-24","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,8,12,14,".462",109,"Arizona Diamondbacks","/api/v1/teams/109",5,TRUE,FALSE,8,11,14,".440",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/745188/content",NA,NA
745346,"3d53b0e3-1d4c-4765-930a-bc60ac475fac","/api/v1.1/game/745346/feed/live","R","2024","2024-04-24T19:45:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745346-2024-04-24","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,8,13,11,".542",121,"New York Mets","/api/v1/teams/121",2,FALSE,FALSE,8,12,14,".462",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/745346/content",NA,NA
746244,"00f15ac2-91ce-4a3c-8f7c-7be3ae074151","/api/v1.1/game/746244/feed/live","R","2024","2024-04-24T20:07:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-746244-2024-04-24","2024","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,8,16,8,".667",110,"Baltimore Orioles","/api/v1/teams/110",5,FALSE,FALSE,8,10,15,".400",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/746244/content",NA,NA
746649,"c39adb26-c6e3-4a06-bb17-149299749ad9","/api/v1.1/game/746649/feed/live","R","2024","2024-04-24T22:10:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-746649-2024-04-24","2024","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,8,14,11,".560",111,"Boston Red Sox","/api/v1/teams/111",0,FALSE,FALSE,8,17,7,".708",114,"Cleveland Guardians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/746649/content",NA,NA
746725,"ca510f20-a9c5-46ee-92df-af78bfbafb9d","/api/v1.1/game/746725/feed/live","R","2024","2024-04-24T22:40:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-746725-2024-04-24","2024","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,8,15,10,".600",143,"Philadelphia Phillies","/api/v1/teams/143",7,TRUE,FALSE,8,14,10,".583",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/746725/content",NA,NA
745513,"1db06952-0611-44ce-8620-5b768dce04af","/api/v1.1/game/745513/feed/live","R","2024","2024-04-24T22:40:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745513-2024-04-24","2024","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,8,15,8,".652",158,"Milwaukee Brewers","/api/v1/teams/158",2,FALSE,FALSE,8,13,12,".520",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/745513/content",NA,NA
744864,"80304258-1922-425a-9dbd-46252b45e7a3","/api/v1.1/game/744864/feed/live","R","2024","2024-04-24T22:45:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-744864-2024-04-24","2024","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,9,15,11,".577",119,"Los Angeles Dodgers","/api/v1/teams/119",2,FALSE,FALSE,9,10,13,".435",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/744864/content",NA,NA
745099,"82c780f4-2dfe-4871-a130-7ab5db804e94","/api/v1.1/game/745099/feed/live","R","2024","2024-04-24T22:50:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745099-2024-04-24","2024","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,8,14,11,".560",116,"Detroit Tigers","/api/v1/teams/116",7,TRUE,FALSE,8,13,13,".500",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/745099/content",NA,NA
745753,"9d001000-f296-4587-ad91-c9a46cc90695","/api/v1.1/game/745753/feed/live","R","2024","2024-04-24T23:05:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745753-2024-04-24","2024","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,8,9,16,".360",133,"Oakland Athletics","/api/v1/teams/133",7,TRUE,FALSE,8,17,8,".680",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/745753/content",NA,NA
747132,"23c994b9-aafb-42f1-bc49-5cc395e40766","/api/v1.1/game/747132/feed/live","R","2024","2024-04-24T23:20:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-747132-2024-04-24","2024","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,8,6,20,".231",146,"Miami Marlins","/api/v1/teams/146",4,TRUE,FALSE,8,17,6,".739",144,"Atlanta Braves","/api/v1/teams/144",4705,"Truist Park","/api/v1/venues/4705","/api/v1/game/747132/content",NA,NA
746889,"df971c34-4ee9-47b6-a623-6ce4255777c8","/api/v1.1/game/746889/feed/live","R","2024","2024-04-24T23:40:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-746889-2024-04-24","2024","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,8,7,18,".280",117,"Houston Astros","/api/v1/teams/117",4,TRUE,FALSE,8,15,9,".625",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/746889/content",NA,NA
746317,"2fbf8ffa-28e3-4c67-be29-8bc29b7b41e5","/api/v1.1/game/746317/feed/live","R","2024","2024-04-24T23:40:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-746317-2024-04-24","2024","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,8,13,12,".520",141,"Toronto Blue Jays","/api/v1/teams/141",3,TRUE,FALSE,8,15,10,".600",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/746317/content",NA,NA
745919,"3e7ec60e-03a5-4cf0-b45b-bd69ff4a475f","/api/v1.1/game/745919/feed/live","R","2024","2024-04-24T23:40:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745919-2024-04-24","2024","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,8,3,21,".125",145,"Chicago White Sox","/api/v1/teams/145",6,TRUE,FALSE,8,10,13,".435",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/745919/content",NA,NA
745028,"d9f12652-4402-4ec6-bcc7-c24181d161c9","/api/v1.1/game/745028/feed/live","R","2024","2024-04-25T00:05:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-745028-2024-04-24","2024","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,8,12,12,".500",136,"Seattle Mariners","/api/v1/teams/136",5,TRUE,FALSE,8,13,12,".520",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/745028/content",NA,NA
746567,"34ee2d9e-88db-4f2f-a996-63acac941c3d","/api/v1.1/game/746567/feed/live","R","2024","2024-04-25T00:40:00Z","2024-04-24",FALSE,1,TRUE,"N","P","N","14-746567-2024-04-24","2024","night",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,9,14,13,".519",135,"San Diego Padres","/api/v1/teams/135",2,FALSE,FALSE,8,6,19,".240",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/746567/content",NA,NA
745512,"083d5ea2-1505-4641-95ed-51ce0a148603","/api/v1.1/game/745512/feed/live","R","2024","2024-04-25T16:35:00Z","2024-04-25",FALSE,1,TRUE,"N","P","N","14-745512-2024-04-25","2024","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,8,16,8,".667",158,"Milwaukee Brewers","/api/v1/teams/158",5,FALSE,FALSE,8,13,13,".500",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/745512/content",NA,NA
